true_alpha,true_tau,rec_alpha,rec_tau
0.1,0.5,0.20281818181818184,0.614848484848485
0.1,0.5,0.9697272727272728,0.21161616161616165
0.1,0.5,0.2129090909090909,0.5644444444444445
0.1,0.5,0.16245454545454546,0.3628282828282829
0.1,0.5,0.19272727272727275,0.4132323232323233
0.1,0.5,0.07163636363636364,0.8164646464646466
0.1,0.5,0.5055454545454545,0.5140404040404041
0.1,0.5,0.041363636363636366,0.5644444444444445
0.1,0.5,0.20281818181818184,0.4636363636363637
0.1,0.5,0.14227272727272727,0.16121212121212125
0.1,0.5,0.28354545454545454,0.26202020202020204
0.1,0.5,0.2129090909090909,0.9172727272727274
0.1,0.5,0.2330909090909091,0.5140404040404041
0.1,0.5,0.07163636363636364,0.8164646464646466
0.1,0.5,0.28354545454545454,0.3628282828282829
0.1,0.5,0.3239090909090909,0.614848484848485
0.1,0.5,0.05145454545454546,0.7156565656565658
0.1,0.5,0.06154545454545455,0.6652525252525253
0.1,0.5,0.041363636363636366,0.8164646464646466
0.1,0.5,0.16245454545454546,0.4636363636363637
0.1,0.5,0.17254545454545456,0.7156565656565658
0.1,0.5,0.15236363636363637,0.5644444444444445
0.1,0.5,0.011090909090909092,1.118888888888889
0.1,0.5,0.112,1.0684848484848486
0.1,0.5,0.19272727272727275,0.4636363636363637
0.1,0.5,0.011090909090909092,1.7741414141414142
0.1,0.5,0.13218181818181818,0.7156565656565658
0.1,0.5,0.011090909090909092,1.6733333333333336
0.1,0.5,0.4248181818181818,0.3628282828282829
0.1,0.5,0.06154545454545455,0.7660606060606061
0.1,1.5,0.13218181818181818,1.0684848484848486
0.1,1.5,0.17254545454545456,1.471717171717172
0.1,1.5,0.18263636363636365,2.227777777777778
0.1,1.5,0.041363636363636366,5.0
0.1,1.5,0.06154545454545455,1.975757575757576
0.1,1.5,0.041363636363636366,2.3285858585858588
0.1,1.5,0.10190909090909092,2.0765656565656565
0.1,1.5,0.05145454545454546,2.53020202020202
0.1,1.5,0.021181818181818184,2.6814141414141415
0.1,1.5,0.13218181818181818,1.0684848484848486
0.1,1.5,0.03127272727272727,2.3285858585858588
0.1,1.5,0.112,1.0684848484848486
0.1,1.5,0.112,1.975757575757576
0.1,1.5,0.08172727272727273,1.8245454545454547
0.1,1.5,0.08172727272727273,2.2781818181818183
0.1,1.5,0.07163636363636364,1.471717171717172
0.1,1.5,0.021181818181818184,4.042323232323232
0.1,1.5,0.041363636363636366,4.445555555555556
0.1,1.5,0.03127272727272727,4.495959595959596
0.1,1.5,0.2330909090909091,0.9676767676767678
0.1,1.5,0.14227272727272727,1.3205050505050506
0.1,1.5,0.2129090909090909,1.118888888888889
0.1,1.5,0.18263636363636365,0.8164646464646466
0.1,1.5,0.10190909090909092,2.026161616161616
0.1,1.5,0.041363636363636366,5.0
0.1,1.5,0.021181818181818184,4.193535353535354
0.1,1.5,0.112,1.0684848484848486
0.1,1.5,0.08172727272727273,1.6733333333333336
0.1,1.5,0.021181818181818184,3.73989898989899
0.1,1.5,0.021181818181818184,3.3870707070707073
