id,denekId,sayac,yatirim,rakip,secim,secimsure,kazanc,toplam,PE_raw,V_value,PE_normalized,group
8,8,0,0,1,1,1389,20,20,0.0,0.3333333333333333,-0.5370244733203696,1
9,8,1,1,1,1,1357,60,80,0.6666666666666667,0.3333333333333333,1.2636781074041148,1
10,8,2,1,1,1,1560,60,140,0.6648051840795084,0.3351948159204916,1.25865014265611,1
11,8,3,0,1,1,515,20,160,-0.0037177674981831443,0.33705110083151646,-0.5470663636131377,1
12,8,4,0,1,1,1919,20,180,-0.0037177674981831443,0.33705110083151646,-0.5470663636131377,1
13,8,5,1,1,1,671,60,240,0.6629488991684835,0.33705110083151646,1.2536362171113467,1
14,8,6,1,1,1,437,60,300,0.6610977974205168,0.3389022025794833,1.2486362915692255,1
15,8,7,0,1,1,686,20,320,-0.007414802303610413,0.3407481356369437,-0.5570522537858793,1
16,8,8,1,1,1,1700,60,380,0.6592518643630563,0.3407481356369437,1.243650326938605,1
17,8,9,0,1,1,858,20,400,-0.009255581102705579,0.3425889144360389,-0.5620242964869897,1
18,8,10,0,1,1,952,20,420,-0.009255581102705579,0.3425889144360389,-0.5620242964869897,1
19,8,11,1,1,1,671,60,480,0.6574110855639611,0.3425889144360389,1.2386782842374946,1
20,8,12,1,1,1,531,60,540,0.6555754466313879,0.3444245533686121,1.23372012459275,1
21,8,13,0,1,1,499,20,560,-0.012921733452988027,0.34625506678632134,-0.5719267714847138,1
22,8,14,0,1,1,499,20,580,-0.012921733452988027,0.34625506678632134,-0.5719267714847138,1
23,8,15,1,1,1,1045,60,640,0.6537449332136787,0.34625506678632134,1.2287758092397705,1
24,8,16,0,1,1,655,20,660,-0.01474713566741831,0.3480804690007516,-0.576857281202291,1
25,8,17,1,1,1,1185,60,720,0.6519195309992484,0.3480804690007516,1.2238452995221933,1
26,8,18,0,1,1,421,20,740,-0.016567440950193524,0.34990077428352684,-0.5817740238328906,1
27,8,19,1,1,1,702,60,800,0.6500992257164732,0.34990077428352684,1.2189285568915935,1
28,8,20,0,1,1,670,20,820,-0.01838266353308793,0.35171599686642124,-0.5866770378173015,1
29,8,21,1,0,1,670,0,820,-0.35171599686642124,0.35171599686642124,-1.4870283281795436,1
30,8,22,1,1,1,1342,60,880,0.6492660729392665,0.3507339270607335,1.216678166357513,1
31,8,23,0,1,1,764,20,900,-0.019213489961213748,0.35254682329454706,-0.5889211447571919,1
32,8,24,1,0,1,2371,0,900,-0.35254682329454706,0.35254682329454706,-1.489272435119434,1
33,8,25,1,0,1,842,0,900,-0.3515624336354659,0.3515624336354659,-1.486613545620115,1
34,8,26,0,1,1,343,20,920,-0.017247459279365496,0.3505807926126988,-0.5836107899733105,1
35,8,27,0,1,1,468,20,940,-0.017247459279365496,0.3505807926126988,-0.5836107899733105,1
36,8,28,1,1,1,702,60,1000,0.6494192073873012,0.3505807926126988,1.2170917907511738,1
37,8,29,0,1,1,343,20,1020,-0.01906078309884185,0.35239411643217516,-0.5885086752954408,1
38,8,30,0,1,1,920,20,1040,-0.01906078309884185,0.35239411643217516,-0.5885086752954408,1
39,8,31,1,1,1,390,60,1100,0.6476058835678249,0.35239411643217516,1.2121939054290436,1
40,8,32,0,1,1,842,20,1120,-0.02086904371224596,0.3542023770455793,-0.5933928846252097,1
41,8,33,1,0,1,484,0,1120,-0.3542023770455793,0.3542023770455793,-1.4937441749874516,1
42,8,34,0,1,1,499,20,1140,-0.01988003137644534,0.35321336470977865,-0.5907215090270429,1
43,8,35,1,0,1,577,0,1140,-0.35321336470977865,0.35321336470977865,-1.491072799389285,1
44,8,36,0,1,1,499,20,1160,-0.01889378058450708,0.3522271139178404,-0.5880575925076157,1
45,8,37,1,1,1,578,60,1220,0.6477728860821597,0.3522271139178404,1.2126449882168686,1
46,8,38,0,1,1,749,20,1240,-0.020702507506319856,0.35403584083965317,-0.5929430613615169,1
47,8,39,1,0,1,718,0,1240,-0.35403584083965317,0.35403584083965317,-1.493294351723759,1
48,8,40,0,1,1,593,20,1260,-0.01971396017689042,0.35304729351022374,-0.5902729417706091,1
49,8,41,1,0,1,437,0,1260,-0.35304729351022374,0.35304729351022374,-1.4906242321328511,1
50,8,42,0,1,1,405,20,1280,-0.018728173092921463,0.3520615064262548,-0.5876102777513874,1
51,8,43,1,1,1,281,60,1340,0.6479384935737452,0.3520615064262548,1.213092302973097,1
52,8,44,0,1,1,406,20,1360,-0.020537362427927086,0.3538706957612604,-0.5924969956082332,1
53,8,45,1,1,1,578,60,1420,0.6461293042387396,0.3538706957612604,1.208205585116251,1
54,8,46,1,1,1,421,60,1480,0.6443251665654,0.35567483343460005,1.2033325120697036,1
55,8,47,0,1,1,405,20,1500,-0.02414060021831077,0.3574739335516441,-0.602229534990395,1
56,8,48,1,1,1,390,60,1560,0.6425260664483559,0.3574739335516441,1.198473045734089,1
57,8,49,0,1,1,328,20,1580,-0.025934676845044136,0.35926801017837745,-0.6070754326080594,1
58,8,50,1,1,1,374,60,1640,0.6407319898216226,0.35926801017837745,1.193627148116425,1
59,8,51,0,1,1,500,20,1660,-0.027723744008176454,0.36105707734150977,-0.6119077993946721,1
60,8,52,1,1,1,687,60,1720,0.6389429226584902,0.36105707734150977,1.188794781329812,1
61,8,53,1,1,1,484,60,1780,0.637158850971415,0.36284114902858494,1.1839759075931413,1
62,8,54,0,1,1,436,20,1800,-0.03128690585475724,0.36462023918809056,-0.6215320914936876,1
63,8,55,0,1,1,718,20,1820,-0.03128690585475724,0.36462023918809056,-0.6215320914936876,1
64,8,56,0,1,1,421,20,1840,-0.03128690585475724,0.36462023918809056,-0.6215320914936876,1
65,8,57,1,1,1,374,60,1900,0.6353797608119094,0.36462023918809056,1.1791704892307964,1
66,8,58,0,1,1,281,20,1920,-0.03306102839623348,0.3663943617295668,-0.6263240920521242,1
67,8,59,1,1,1,484,60,1980,0.6336056382704331,0.3663943617295668,1.1743784886723598,1
74,15,0,1,1,1,187,60,60,0.6666666666666667,0.3333333333333333,1.2884056304240876,1
75,15,1,0,1,1,640,20,80,-0.033674593629587746,0.36700792696292106,-0.21634821620678654,1
76,15,2,1,1,1,733,60,140,0.6329920730370789,0.36700792696292106,1.2160523689920555,1
77,15,3,1,1,1,1482,60,200,0.6010184467916679,0.398981553208332,1.1473538075747718,1
78,15,4,0,1,1,1716,20,220,-0.09600679781439181,0.4293401311477251,-0.3502752448333571,1
79,15,5,1,1,1,1029,60,280,0.5706598688522748,0.4293401311477251,1.082125340365485,1
80,15,6,0,1,1,1872,20,300,-0.12483190659086307,0.4581652399241964,-0.4122088988531137,1
81,15,7,1,1,1,1014,60,360,0.5418347600758036,0.4581652399241964,1.0201916863457283,1
82,15,8,1,1,1,936,60,420,0.5144656620358968,0.48553433796410317,0.9613864182726379,1
83,15,9,1,1,1,1623,60,480,0.4884790288777434,0.5115209711222566,0.905551515458008,1
84,15,10,1,1,1,1357,60,540,0.4638050296866929,0.5361949703133071,0.8525369391373233,1
85,15,11,1,1,1,842,60,600,0.44037736083960555,0.5596226391603945,0.8022002292877044,1
